Date-time CET-CEST (DD/MM/YYYY HH:mm),hour_sin,hour_cos,Rainfall depth (mm),Air temperature (°C),Air humidity (%),Windspeed (km/h),DMA E (L/s)
2022-01-02 14:00:00,-0.4999999999999997,-0.8660254037844388,0.1,9.8,75.0,28.0,89.355
2022-01-02 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2,9.2,81.0,31.0,83.8125
2022-01-02 16:00:00,-0.8660254037844385,-0.5000000000000004,1.7,10.7,78.0,17.0,83.0075
2022-01-02 17:00:00,-0.9659258262890683,-0.25881904510252063,3.0,9.7,81.0,14.0,82.105
2022-01-02 18:00:00,-1.0,-1.8369701987210297e-16,4.1,9.9,82.0,21.0,83.91
2022-01-02 19:00:00,-0.9659258262890684,0.2588190451025203,3.6,9.2,84.0,23.0,86.1475
2022-01-02 20:00:00,-0.8660254037844386,0.5000000000000001,3.9,9.8,79.0,21.0,86.615
2022-01-02 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,10.1,77.0,15.0,80.58
2022-01-02 22:00:00,-0.5000000000000004,0.8660254037844384,0.2,10.2,76.0,22.0,72.935
2022-01-02 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,9.9,73.0,17.0,69.5075
2022-01-03 00:00:00,0.0,1.0,0.5,9.7,78.0,15.0,63.9225
2022-01-03 01:00:00,0.25881904510252074,0.9659258262890683,0.0,9.4,76.0,17.0,57.7125
2022-01-03 02:00:00,0.49999999999999994,0.8660254037844387,0.0,9.6,74.0,17.0,55.47
2022-01-03 03:00:00,0.7071067811865476,0.7071067811865476,0.0,10.0,74.0,12.0,53.8275
2022-01-03 04:00:00,0.8660254037844386,0.5000000000000001,0.0,10.0,75.0,10.0,53.9725
2022-01-03 05:00:00,0.9659258262890683,0.25881904510252074,0.0,10.1,76.0,8.0,55.76
2022-01-03 06:00:00,1.0,6.123233995736766e-17,0.0,10.2,75.0,9.0,58.0675
2022-01-03 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,9.6,76.0,10.0,66.4475
2022-01-03 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,9.2,78.0,9.0,82.3525
2022-01-03 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,10.0,72.0,12.0,102.3025
2022-01-03 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,10.3,71.0,9.0,109.06
2022-01-03 11:00:00,0.258819045102521,-0.9659258262890682,0.0,10.7,68.0,9.0,106.1725
2022-01-03 12:00:00,1.2246467991473532e-16,-1.0,0.0,11.1,68.0,9.0,103.925
2022-01-03 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,12.1,65.0,5.0,98.9
2022-01-03 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,11.5,71.0,8.0,91.47
2022-01-03 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,11.3,73.0,9.0,85.015
2022-01-03 16:00:00,-0.8660254037844385,-0.5000000000000004,0.1,10.4,75.0,12.0,82.99
2022-01-03 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,9.9,74.0,16.0,84.27
2022-01-03 18:00:00,-1.0,-1.8369701987210297e-16,0.0,9.5,81.0,11.0,86.6875
2022-01-03 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,9.3,74.0,10.0,88.7075
2022-01-03 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,9.3,73.0,9.0,89.56
2022-01-03 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,8.9,73.0,6.0,81.3025
2022-01-03 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,8.6,76.0,7.0,74.5075
2022-01-03 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,8.0,74.0,6.0,69.7425
2022-01-04 00:00:00,0.0,1.0,0.0,7.9,71.0,14.0,62.7125
2022-01-04 01:00:00,0.25881904510252074,0.9659258262890683,0.0,8.1,70.0,15.0,57.6225
2022-01-04 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.9,71.0,12.0,55.0375
2022-01-04 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.9,71.0,19.0,53.9825
2022-01-04 04:00:00,0.8660254037844386,0.5000000000000001,0.0,8.2,70.0,19.0,54.5375
2022-01-04 05:00:00,0.9659258262890683,0.25881904510252074,0.0,8.4,69.0,13.0,56.6375
2022-01-04 06:00:00,1.0,6.123233995736766e-17,0.0,8.2,71.0,8.0,65.9625
2022-01-04 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,8.2,71.0,9.0,83.2025
2022-01-04 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,8.3,72.0,6.0,96.01
2022-01-04 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,7.9,75.0,7.0,97.6675
2022-01-04 10:00:00,0.49999999999999994,-0.8660254037844387,0.1,7.0,80.0,8.0,94.78
2022-01-04 11:00:00,0.258819045102521,-0.9659258262890682,0.3,6.7,79.0,12.0,92.0175
2022-01-04 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.7,78.0,11.0,89.4775
2022-01-04 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,7.9,76.0,9.0,91.2075
2022-01-04 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,8.2,76.0,9.0,87.6675
2022-01-04 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,8.7,74.0,9.0,83.48
2022-01-04 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,8.9,73.0,3.0,80.79
2022-01-04 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,9.1,75.0,4.0,80.6375
2022-01-04 18:00:00,-1.0,-1.8369701987210297e-16,0.0,8.7,77.0,6.0,83.89
2022-01-04 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,8.2,78.0,7.0,89.085
2022-01-04 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,8.5,76.0,6.0,90.585
2022-01-04 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,8.1,75.0,7.0,82.44
2022-01-04 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,8.1,73.0,6.0,74.4225
2022-01-04 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,7.8,74.0,6.0,69.495
2022-01-05 00:00:00,0.0,1.0,0.0,7.9,71.0,6.0,62.75
2022-01-05 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.9,72.0,4.0,57.29
2022-01-05 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.5,73.0,5.0,55.29
2022-01-05 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.9,72.0,7.0,54.2
2022-01-05 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.4,74.0,7.0,54.05
2022-01-05 05:00:00,0.9659258262890683,0.25881904510252074,0.0,7.2,75.0,6.0,56.0525
2022-01-05 06:00:00,1.0,6.123233995736766e-17,0.0,7.3,75.0,8.0,64.6225
2022-01-05 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,7.2,74.0,10.0,80.205
2022-01-05 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,7.0,75.0,6.0,92.565
2022-01-05 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,8.0,72.0,4.0,96.9575
2022-01-05 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,8.6,69.0,4.0,96.265
2022-01-05 11:00:00,0.258819045102521,-0.9659258262890682,0.0,8.8,67.0,7.0,93.225
2022-01-05 12:00:00,1.2246467991473532e-16,-1.0,0.0,9.0,67.0,7.0,92.23
2022-01-05 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,9.3,68.0,8.0,91.285
2022-01-05 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,9.6,68.0,7.0,86.2225
2022-01-05 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,9.8,65.0,8.0,81.8225
2022-01-05 16:00:00,-0.8660254037844385,-0.5000000000000004,0.4,8.7,72.0,12.0,81.5225
2022-01-05 17:00:00,-0.9659258262890683,-0.25881904510252063,0.8,7.5,76.0,10.0,80.8225
2022-01-05 18:00:00,-1.0,-1.8369701987210297e-16,0.3,7.2,76.0,14.0,84.6975
2022-01-05 19:00:00,-0.9659258262890684,0.2588190451025203,0.1,7.3,76.0,16.0,88.7025
2022-01-05 20:00:00,-0.8660254037844386,0.5000000000000001,0.1,7.1,75.0,24.0,88.76
2022-01-05 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,7.2,74.0,20.0,81.815
2022-01-05 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,7.1,75.0,23.0,73.68
2022-01-05 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,7.0,74.0,22.0,70.32
2022-01-06 00:00:00,0.0,1.0,0.0,7.2,75.0,15.0,63.8725
2022-01-06 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.2,76.0,15.0,57.43
2022-01-06 02:00:00,0.49999999999999994,0.8660254037844387,0.6,7.2,77.0,14.0,55.325
2022-01-06 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.5,75.0,13.0,54.31
2022-01-06 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.5,75.0,15.0,54.22
2022-01-06 05:00:00,0.9659258262890683,0.25881904510252074,0.0,7.2,76.0,13.0,55.1175
2022-01-06 06:00:00,1.0,6.123233995736766e-17,0.2,7.2,80.0,12.0,58.2875
2022-01-06 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.9,80.0,11.0,67.625
2022-01-06 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,7.0,80.0,12.0,85.115
2022-01-06 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,7.0,80.0,15.0,102.325
2022-01-06 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,7.7,79.0,15.0,106.99
2022-01-06 11:00:00,0.258819045102521,-0.9659258262890682,0.0,7.7,80.0,14.0,103.47
2022-01-06 12:00:00,1.2246467991473532e-16,-1.0,0.0,8.3,79.0,12.0,99.705
2022-01-06 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,8.7,71.0,22.0,97.415
2022-01-06 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,8.7,75.0,17.0,91.11
2022-01-06 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,7.8,79.0,26.0,85.365
2022-01-06 16:00:00,-0.8660254037844385,-0.5000000000000004,0.2,6.9,78.0,24.0,82.7675
2022-01-06 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,6.9,81.0,9.0,85.4475
2022-01-06 18:00:00,-1.0,-1.8369701987210297e-16,0.1,6.7,83.0,10.0,89.0425
2022-01-06 19:00:00,-0.9659258262890684,0.2588190451025203,1.8,5.8,84.0,6.0,89.7575
2022-01-06 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,6.0,83.0,10.0,92.615
2022-01-06 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.3,84.0,9.0,82.5625
2022-01-06 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.3,84.0,9.0,74.5875
2022-01-06 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,6.1,84.0,8.0,69.6625
2022-01-07 00:00:00,0.0,1.0,0.0,5.9,82.0,10.0,62.47
2022-01-07 01:00:00,0.25881904510252074,0.9659258262890683,0.0,6.2,84.0,8.0,56.74
2022-01-07 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.7,85.0,12.0,55.6825
2022-01-07 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.5,86.0,12.0,54.205
2022-01-07 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.9,83.0,8.0,55.0175
2022-01-07 05:00:00,0.9659258262890683,0.25881904510252074,0.0,6.2,83.0,7.0,57.045
2022-01-07 06:00:00,1.0,6.123233995736766e-17,0.0,6.0,82.0,10.0,70.3925
2022-01-07 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.3,79.0,10.0,93.6375
2022-01-07 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,6.6,79.0,8.0,97.8525
2022-01-07 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,6.8,77.0,7.0,96.785
2022-01-07 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,6.9,77.0,10.0,91.0175
2022-01-07 11:00:00,0.258819045102521,-0.9659258262890682,1.4,6.6,83.0,5.0,88.025
2022-01-07 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.5,77.0,7.0,86.5875
2022-01-07 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,8.4,73.0,4.0,87.9225
2022-01-07 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,7.9,75.0,8.0,84.96
2022-01-07 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,8.1,72.0,8.0,81.8475
2022-01-07 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,7.8,83.0,8.0,78.075
2022-01-07 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,7.7,82.0,9.0,80.2575
2022-01-07 18:00:00,-1.0,-1.8369701987210297e-16,0.0,7.3,86.0,10.0,85.17
2022-01-07 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,7.4,85.0,11.0,88.685
2022-01-07 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,7.0,86.0,6.0,92.5025
2022-01-07 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.4,84.0,6.0,83.675
2022-01-07 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.1,84.0,5.0,74.7175
2022-01-07 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,6.0,79.0,6.0,69.49
2022-01-08 00:00:00,0.0,1.0,0.0,5.8,80.0,5.0,62.175
2022-01-08 01:00:00,0.25881904510252074,0.9659258262890683,0.0,6.3,72.0,6.0,56.33
2022-01-08 02:00:00,0.49999999999999994,0.8660254037844387,0.0,6.0,73.0,13.0,54.7525
2022-01-08 03:00:00,0.7071067811865476,0.7071067811865476,0.0,6.0,74.0,9.0,54.2075
2022-01-08 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.8,71.0,18.0,54.81
2022-01-08 05:00:00,0.9659258262890683,0.25881904510252074,0.0,6.0,73.0,23.0,56.465
2022-01-08 06:00:00,1.0,6.123233995736766e-17,0.0,5.6,72.0,26.0,69.2075
2022-01-08 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.1,71.0,13.0,94.535
2022-01-08 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,6.3,75.0,30.0,98.8275
2022-01-08 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,6.1,73.0,34.0,96.51
2022-01-08 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,6.6,73.0,30.0,91.57
2022-01-08 11:00:00,0.258819045102521,-0.9659258262890682,0.0,6.8,65.0,35.0,89.985
2022-01-08 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.1,63.0,39.0,87.9775
2022-01-08 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,7.3,64.0,39.0,88.185
2022-01-08 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,6.9,62.0,42.0,88.0075
2022-01-08 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,7.1,61.0,44.0,84.16
2022-01-08 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,6.8,60.0,39.0,81.075
2022-01-08 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,6.5,63.0,42.0,80.355
2022-01-08 18:00:00,-1.0,-1.8369701987210297e-16,0.0,6.3,61.0,46.0,84.2325
2022-01-08 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,6.5,58.0,44.0,88.1425
2022-01-08 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,6.3,61.0,41.0,90.08
2022-01-08 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.5,56.0,42.0,82.3375
2022-01-08 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.0,58.0,40.0,74.825
2022-01-08 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,5.7,64.0,40.0,70.0075
2022-01-09 00:00:00,0.0,1.0,0.0,5.5,66.0,39.0,62.965
2022-01-09 01:00:00,0.25881904510252074,0.9659258262890683,0.0,5.4,65.0,46.0,57.825
2022-01-09 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.1,65.0,46.0,55.2925
2022-01-09 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.0,65.0,46.0,54.56
2022-01-09 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.1,65.0,45.0,54.7175
2022-01-09 05:00:00,0.9659258262890683,0.25881904510252074,0.0,4.8,65.0,44.0,56.1575
2022-01-09 06:00:00,1.0,6.123233995736766e-17,0.0,4.8,64.0,38.0,61.085
2022-01-09 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,4.8,65.0,42.0,73.4525
2022-01-09 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,4.6,68.0,41.0,89.4975
2022-01-09 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,4.6,69.0,45.0,103.9475
2022-01-09 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,5.1,64.0,45.0,106.22
2022-01-09 11:00:00,0.258819045102521,-0.9659258262890682,0.0,5.7,64.0,46.0,102.895
2022-01-09 12:00:00,1.2246467991473532e-16,-1.0,0.0,6.1,64.0,46.0,99.8925
2022-01-09 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,6.0,65.0,45.0,98.085
2022-01-09 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,5.9,65.0,40.0,91.7275
2022-01-09 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,5.7,68.0,44.0,85.9275
2022-01-09 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,5.6,67.0,44.0,84.56
2022-01-09 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,5.6,67.0,43.0,84.225
2022-01-09 18:00:00,-1.0,-1.8369701987210297e-16,0.0,5.6,67.0,45.0,86.1625
2022-01-09 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,5.5,65.0,49.0,85.725
2022-01-09 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,5.5,66.0,47.0,87.105
2022-01-09 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,5.4,63.0,47.0,81.3675
2022-01-09 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,5.3,65.0,48.0,74.49
2022-01-09 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,5.1,64.0,47.0,69.2275
2022-01-10 00:00:00,0.0,1.0,0.0,5.2,66.0,43.0,62.8325
2022-01-10 01:00:00,0.25881904510252074,0.9659258262890683,0.0,5.2,67.0,48.0,58.075
2022-01-10 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.0,65.0,48.0,55.42
2022-01-10 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.3,65.0,49.0,55.3875
2022-01-10 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.3,65.0,55.0,54.4975
2022-01-10 05:00:00,0.9659258262890683,0.25881904510252074,0.0,5.3,64.0,49.0,55.0825
2022-01-10 06:00:00,1.0,6.123233995736766e-17,0.0,5.1,65.0,51.0,57.9225
2022-01-10 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,5.0,61.0,52.0,66.8475
2022-01-10 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,4.9,61.0,53.0,83.79
2022-01-10 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,5.0,61.0,56.0,100.05
2022-01-10 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,5.2,64.0,54.0,107.8075
2022-01-10 11:00:00,0.258819045102521,-0.9659258262890682,0.0,5.6,64.0,54.0,104.395
2022-01-10 12:00:00,1.2246467991473532e-16,-1.0,0.0,5.3,62.0,51.0,104.7275
2022-01-10 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,4.9,69.0,51.0,98.0675
2022-01-10 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,4.9,70.0,47.0,91.2
2022-01-10 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,4.8,69.0,51.0,85.88
2022-01-10 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,4.7,65.0,48.0,85.13
2022-01-10 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,4.5,60.0,41.0,87.1375
2022-01-10 18:00:00,-1.0,-1.8369701987210297e-16,0.0,4.8,62.0,44.0,90.94
2022-01-10 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,4.7,66.0,64.0,93.91
2022-01-10 20:00:00,-0.8660254037844386,0.5000000000000001,0.1,4.5,63.0,67.0,95.63
2022-01-10 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,4.3,63.0,66.0,81.7675
2022-01-10 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,4.2,61.0,62.0,75.53
2022-01-10 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,4.3,63.0,56.0,70.2175
2022-01-11 00:00:00,0.0,1.0,0.0,4.2,61.0,56.0,61.1725
2022-01-11 01:00:00,0.25881904510252074,0.9659258262890683,0.0,4.5,57.0,46.0,56.4075
2022-01-11 02:00:00,0.49999999999999994,0.8660254037844387,0.0,4.4,55.0,35.0,54.6625
2022-01-11 03:00:00,0.7071067811865476,0.7071067811865476,0.0,4.2,56.0,33.0,54.3475
2022-01-11 04:00:00,0.8660254037844386,0.5000000000000001,0.0,3.8,58.0,32.0,55.0625
2022-01-11 05:00:00,0.9659258262890683,0.25881904510252074,0.0,3.6,58.0,31.0,57.6275
2022-01-11 06:00:00,1.0,6.123233995736766e-17,0.0,3.7,60.0,37.0,72.095
2022-01-11 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,3.5,62.0,47.0,96.935
2022-01-11 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,3.3,63.0,64.0,97.455
2022-01-11 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,3.3,64.0,69.0,93.3875
2022-01-11 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,3.7,62.0,67.0,90.1575
2022-01-11 11:00:00,0.258819045102521,-0.9659258262890682,0.0,4.3,59.0,56.0,86.3025
2022-01-11 12:00:00,1.2246467991473532e-16,-1.0,0.0,4.4,57.0,44.0,89.885
2022-01-11 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,4.6,57.0,44.0,90.65
2022-01-11 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,4.6,57.0,49.0,87.47
2022-01-11 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,4.7,52.0,53.0,82.465
2022-01-11 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,4.8,54.0,49.0,81.86
2022-01-11 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,4.6,55.0,50.0,81.19
2022-01-11 18:00:00,-1.0,-1.8369701987210297e-16,0.0,4.3,47.0,34.0,86.8475
2022-01-11 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,4.5,45.0,32.0,92.33
2022-01-11 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,4.3,45.0,17.0,95.365
2022-01-11 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,3.3,46.0,15.0,86.7625
2022-01-11 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,3.2,48.0,10.0,75.0325
2022-01-11 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,3.1,53.0,12.0,68.9075
2022-01-12 00:00:00,0.0,1.0,0.0,2.8,58.0,18.0,61.67
2022-01-12 01:00:00,0.25881904510252074,0.9659258262890683,0.0,3.5,56.0,26.0,56.565
2022-01-12 02:00:00,0.49999999999999994,0.8660254037844387,0.0,3.5,57.0,22.0,54.635
2022-01-12 03:00:00,0.7071067811865476,0.7071067811865476,0.0,3.4,54.0,21.0,54.385
