Date-time CET-CEST (DD/MM/YYYY HH:mm),hour_sin,hour_cos,Rainfall depth (mm),Air temperature (°C),Air humidity (%),Windspeed (km/h),DMA H (L/s)
2022-01-02 14:00:00,-0.4999999999999997,-0.8660254037844388,0.1,9.8,75.0,28.0,20.635
2022-01-02 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2,9.2,81.0,31.0,19.65
2022-01-02 16:00:00,-0.8660254037844385,-0.5000000000000004,1.7,10.7,78.0,17.0,18.9525
2022-01-02 17:00:00,-0.9659258262890683,-0.25881904510252063,3.0,9.7,81.0,14.0,19.375
2022-01-02 18:00:00,-1.0,-1.8369701987210297e-16,4.1,9.9,82.0,21.0,19.6275
2022-01-02 19:00:00,-0.9659258262890684,0.2588190451025203,3.6,9.2,84.0,23.0,19.975
2022-01-02 20:00:00,-0.8660254037844386,0.5000000000000001,3.9,9.8,79.0,21.0,20.4375
2022-01-02 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,10.1,77.0,15.0,18.8
2022-01-02 22:00:00,-0.5000000000000004,0.8660254037844384,0.2,10.2,76.0,22.0,15.5
2022-01-02 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,9.9,73.0,17.0,15.0175
2022-01-03 00:00:00,0.0,1.0,0.5,9.7,78.0,15.0,12.86
2022-01-03 01:00:00,0.25881904510252074,0.9659258262890683,0.0,9.4,76.0,17.0,12.58
2022-01-03 02:00:00,0.49999999999999994,0.8660254037844387,0.0,9.6,74.0,17.0,11.235
2022-01-03 03:00:00,0.7071067811865476,0.7071067811865476,0.0,10.0,74.0,12.0,10.9475
2022-01-03 04:00:00,0.8660254037844386,0.5000000000000001,0.0,10.0,75.0,10.0,10.7075
2022-01-03 05:00:00,0.9659258262890683,0.25881904510252074,0.0,10.1,76.0,8.0,11.0675
2022-01-03 06:00:00,1.0,6.123233995736766e-17,0.0,10.2,75.0,9.0,11.4975
2022-01-03 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,9.6,76.0,10.0,13.725
2022-01-03 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,9.2,78.0,9.0,18.3625
2022-01-03 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,10.0,72.0,12.0,23.86
2022-01-03 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,10.3,71.0,9.0,26.615
2022-01-03 11:00:00,0.258819045102521,-0.9659258262890682,0.0,10.7,68.0,9.0,25.215
2022-01-03 12:00:00,1.2246467991473532e-16,-1.0,0.0,11.1,68.0,9.0,24.7325
2022-01-03 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,12.1,65.0,5.0,23.5575
2022-01-03 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,11.5,71.0,8.0,21.3
2022-01-03 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,11.3,73.0,9.0,20.1125
2022-01-03 16:00:00,-0.8660254037844385,-0.5000000000000004,0.1,10.4,75.0,12.0,19.58
2022-01-03 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,9.9,74.0,16.0,19.34
2022-01-03 18:00:00,-1.0,-1.8369701987210297e-16,0.0,9.5,81.0,11.0,20.15
2022-01-03 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,9.3,74.0,10.0,19.2975
2022-01-03 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,9.3,73.0,9.0,19.785
2022-01-03 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,8.9,73.0,6.0,17.4725
2022-01-03 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,8.6,76.0,7.0,17.06
2022-01-03 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,8.0,74.0,6.0,14.6225
2022-01-04 00:00:00,0.0,1.0,0.0,7.9,71.0,14.0,13.575
2022-01-04 01:00:00,0.25881904510252074,0.9659258262890683,0.0,8.1,70.0,15.0,11.3125
2022-01-04 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.9,71.0,12.0,10.31
2022-01-04 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.9,71.0,19.0,10.6725
2022-01-04 04:00:00,0.8660254037844386,0.5000000000000001,0.0,8.2,70.0,19.0,10.66
2022-01-04 05:00:00,0.9659258262890683,0.25881904510252074,0.0,8.4,69.0,13.0,11.4275
2022-01-04 06:00:00,1.0,6.123233995736766e-17,0.0,8.2,71.0,8.0,14.06
2022-01-04 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,8.2,71.0,9.0,19.865
2022-01-04 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,8.3,72.0,6.0,23.78
2022-01-04 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,7.9,75.0,7.0,25.315
2022-01-04 10:00:00,0.49999999999999994,-0.8660254037844387,0.1,7.0,80.0,8.0,25.0175
2022-01-04 11:00:00,0.258819045102521,-0.9659258262890682,0.3,6.7,79.0,12.0,24.125
2022-01-04 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.7,78.0,11.0,23.3475
2022-01-04 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,7.9,76.0,9.0,24.0175
2022-01-04 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,8.2,76.0,9.0,21.4225
2022-01-04 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,8.7,74.0,9.0,19.3175
2022-01-04 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,8.9,73.0,3.0,18.7275
2022-01-04 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,9.1,75.0,4.0,19.865
2022-01-04 18:00:00,-1.0,-1.8369701987210297e-16,0.0,8.7,77.0,6.0,20.7125
2022-01-04 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,8.2,78.0,7.0,20.93
2022-01-04 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,8.5,76.0,6.0,20.45
2022-01-04 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,8.1,75.0,7.0,17.74
2022-01-04 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,8.1,73.0,6.0,16.5425
2022-01-04 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,7.8,74.0,6.0,14.26
2022-01-05 00:00:00,0.0,1.0,0.0,7.9,71.0,6.0,13.7025
2022-01-05 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.9,72.0,4.0,11.6725
2022-01-05 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.5,73.0,5.0,10.2775
2022-01-05 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.9,72.0,7.0,10.5125
2022-01-05 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.4,74.0,7.0,10.66
2022-01-05 05:00:00,0.9659258262890683,0.25881904510252074,0.0,7.2,75.0,6.0,10.925
2022-01-05 06:00:00,1.0,6.123233995736766e-17,0.0,7.3,75.0,8.0,13.01
2022-01-05 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,7.2,74.0,10.0,18.1125
2022-01-05 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,7.0,75.0,6.0,23.535
2022-01-05 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,8.0,72.0,4.0,23.6675
2022-01-05 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,8.6,69.0,4.0,25.4525
2022-01-05 11:00:00,0.258819045102521,-0.9659258262890682,0.0,8.8,67.0,7.0,23.8525
2022-01-05 12:00:00,1.2246467991473532e-16,-1.0,0.0,9.0,67.0,7.0,24.395
2022-01-05 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,9.3,68.0,8.0,23.1175
2022-01-05 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,9.6,68.0,7.0,21.4425
2022-01-05 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,9.8,65.0,8.0,20.2325
2022-01-05 16:00:00,-0.8660254037844385,-0.5000000000000004,0.4,8.7,72.0,12.0,20.53
2022-01-05 17:00:00,-0.9659258262890683,-0.25881904510252063,0.8,7.5,76.0,10.0,20.705
2022-01-05 18:00:00,-1.0,-1.8369701987210297e-16,0.3,7.2,76.0,14.0,20.5775
2022-01-05 19:00:00,-0.9659258262890684,0.2588190451025203,0.1,7.3,76.0,16.0,20.2425
2022-01-05 20:00:00,-0.8660254037844386,0.5000000000000001,0.1,7.1,75.0,24.0,20.075
2022-01-05 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,7.2,74.0,20.0,17.98
2022-01-05 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,7.1,75.0,23.0,15.8575
2022-01-05 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,7.0,74.0,22.0,15.295
2022-01-06 00:00:00,0.0,1.0,0.0,7.2,75.0,15.0,12.9125
2022-01-06 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.2,76.0,15.0,11.3425
2022-01-06 02:00:00,0.49999999999999994,0.8660254037844387,0.6,7.2,77.0,14.0,10.505
2022-01-06 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.5,75.0,13.0,10.66
2022-01-06 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.5,75.0,15.0,10.4025
2022-01-06 05:00:00,0.9659258262890683,0.25881904510252074,0.0,7.2,76.0,13.0,10.705
2022-01-06 06:00:00,1.0,6.123233995736766e-17,0.2,7.2,80.0,12.0,11.9575
2022-01-06 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.9,80.0,11.0,13.7
2022-01-06 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,7.0,80.0,12.0,19.065
2022-01-06 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,7.0,80.0,15.0,24.425
2022-01-06 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,7.7,79.0,15.0,25.905
2022-01-06 11:00:00,0.258819045102521,-0.9659258262890682,0.0,7.7,80.0,14.0,24.46
2022-01-06 12:00:00,1.2246467991473532e-16,-1.0,0.0,8.3,79.0,12.0,24.325
2022-01-06 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,8.7,71.0,22.0,22.5125
2022-01-06 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,8.7,75.0,17.0,21.335
2022-01-06 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,7.8,79.0,26.0,19.8675
2022-01-06 16:00:00,-0.8660254037844385,-0.5000000000000004,0.2,6.9,78.0,24.0,20.2275
2022-01-06 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,6.9,81.0,9.0,20.5
2022-01-06 18:00:00,-1.0,-1.8369701987210297e-16,0.1,6.7,83.0,10.0,21.9825
2022-01-06 19:00:00,-0.9659258262890684,0.2588190451025203,1.8,5.8,84.0,6.0,21.8025
2022-01-06 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,6.0,83.0,10.0,21.3275
2022-01-06 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.3,84.0,9.0,18.6325
2022-01-06 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.3,84.0,9.0,17.7875
2022-01-06 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,6.1,84.0,8.0,15.69
2022-01-07 00:00:00,0.0,1.0,0.0,5.9,82.0,10.0,13.21
2022-01-07 01:00:00,0.25881904510252074,0.9659258262890683,0.0,6.2,84.0,8.0,11.16
2022-01-07 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.7,85.0,12.0,11.0025
2022-01-07 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.5,86.0,12.0,10.2725
2022-01-07 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.9,83.0,8.0,10.7375
2022-01-07 05:00:00,0.9659258262890683,0.25881904510252074,0.0,6.2,83.0,7.0,11.7275
2022-01-07 06:00:00,1.0,6.123233995736766e-17,0.0,6.0,82.0,10.0,15.405
2022-01-07 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.3,79.0,10.0,22.885
2022-01-07 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,6.6,79.0,8.0,24.7675
2022-01-07 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,6.8,77.0,7.0,26.23
2022-01-07 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,6.9,77.0,10.0,25.465
2022-01-07 11:00:00,0.258819045102521,-0.9659258262890682,1.4,6.6,83.0,5.0,23.9575
2022-01-07 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.5,77.0,7.0,24.36
2022-01-07 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,8.4,73.0,4.0,24.7125
2022-01-07 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,7.9,75.0,8.0,22.5025
2022-01-07 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,8.1,72.0,8.0,20.7925
2022-01-07 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,7.8,83.0,8.0,20.5875
2022-01-07 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,7.7,82.0,9.0,20.7075
2022-01-07 18:00:00,-1.0,-1.8369701987210297e-16,0.0,7.3,86.0,10.0,21.1025
2022-01-07 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,7.4,85.0,11.0,22.195
2022-01-07 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,7.0,86.0,6.0,21.74
2022-01-07 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.4,84.0,6.0,19.6525
2022-01-07 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.1,84.0,5.0,17.245
2022-01-07 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,6.0,79.0,6.0,14.3775
2022-01-08 00:00:00,0.0,1.0,0.0,5.8,80.0,5.0,12.8825
2022-01-08 01:00:00,0.25881904510252074,0.9659258262890683,0.0,6.3,72.0,6.0,11.0375
2022-01-08 02:00:00,0.49999999999999994,0.8660254037844387,0.0,6.0,73.0,13.0,10.54
2022-01-08 03:00:00,0.7071067811865476,0.7071067811865476,0.0,6.0,74.0,9.0,10.5325
2022-01-08 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.8,71.0,18.0,10.805
2022-01-08 05:00:00,0.9659258262890683,0.25881904510252074,0.0,6.0,73.0,23.0,11.55
2022-01-08 06:00:00,1.0,6.123233995736766e-17,0.0,5.6,72.0,26.0,15.09
2022-01-08 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.1,71.0,13.0,22.5075
2022-01-08 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,6.3,75.0,30.0,26.0275
2022-01-08 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,6.1,73.0,34.0,25.7375
2022-01-08 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,6.6,73.0,30.0,25.885
2022-01-08 11:00:00,0.258819045102521,-0.9659258262890682,0.0,6.8,65.0,35.0,24.33
2022-01-08 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.1,63.0,39.0,24.7575
2022-01-08 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,7.3,64.0,39.0,24.2475
2022-01-08 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,6.9,62.0,42.0,24.48
2022-01-08 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,7.1,61.0,44.0,20.905
2022-01-08 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,6.8,60.0,39.0,21.3525
2022-01-08 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,6.5,63.0,42.0,21.1275
2022-01-08 18:00:00,-1.0,-1.8369701987210297e-16,0.0,6.3,61.0,46.0,21.7625
2022-01-08 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,6.5,58.0,44.0,21.9875
2022-01-08 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,6.3,61.0,41.0,20.415
2022-01-08 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.5,56.0,42.0,18.245
2022-01-08 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.0,58.0,40.0,17.0475
2022-01-08 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,5.7,64.0,40.0,16.015
2022-01-09 00:00:00,0.0,1.0,0.0,5.5,66.0,39.0,13.77
2022-01-09 01:00:00,0.25881904510252074,0.9659258262890683,0.0,5.4,65.0,46.0,11.3975
2022-01-09 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.1,65.0,46.0,10.2025
2022-01-09 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.0,65.0,46.0,10.9525
2022-01-09 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.1,65.0,45.0,10.4175
2022-01-09 05:00:00,0.9659258262890683,0.25881904510252074,0.0,4.8,65.0,44.0,11.055
2022-01-09 06:00:00,1.0,6.123233995736766e-17,0.0,4.8,64.0,38.0,13.5325
2022-01-09 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,4.8,65.0,42.0,17.47
2022-01-09 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,4.6,68.0,41.0,21.23
2022-01-09 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,4.6,69.0,45.0,26.0
2022-01-09 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,5.1,64.0,45.0,25.6925
2022-01-09 11:00:00,0.258819045102521,-0.9659258262890682,0.0,5.7,64.0,46.0,24.11
2022-01-09 12:00:00,1.2246467991473532e-16,-1.0,0.0,6.1,64.0,46.0,24.7225
2022-01-09 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,6.0,65.0,45.0,23.875
2022-01-09 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,5.9,65.0,40.0,23.0575
2022-01-09 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,5.7,68.0,44.0,21.17
2022-01-09 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,5.6,67.0,44.0,19.665
2022-01-09 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,5.6,67.0,43.0,20.5275
2022-01-09 18:00:00,-1.0,-1.8369701987210297e-16,0.0,5.6,67.0,45.0,20.985
2022-01-09 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,5.5,65.0,49.0,20.2225
2022-01-09 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,5.5,66.0,47.0,20.1425
2022-01-09 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,5.4,63.0,47.0,18.665
2022-01-09 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,5.3,65.0,48.0,16.2825
2022-01-09 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,5.1,64.0,47.0,15.1325
2022-01-10 00:00:00,0.0,1.0,0.0,5.2,66.0,43.0,13.505
2022-01-10 01:00:00,0.25881904510252074,0.9659258262890683,0.0,5.2,67.0,48.0,11.8175
2022-01-10 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.0,65.0,48.0,10.755
2022-01-10 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.3,65.0,49.0,10.4575
2022-01-10 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.3,65.0,55.0,10.2275
2022-01-10 05:00:00,0.9659258262890683,0.25881904510252074,0.0,5.3,64.0,49.0,11.0525
2022-01-10 06:00:00,1.0,6.123233995736766e-17,0.0,5.1,65.0,51.0,11.6375
2022-01-10 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,5.0,61.0,52.0,15.0375
2022-01-10 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,4.9,61.0,53.0,18.7425
2022-01-10 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,5.0,61.0,56.0,24.43
2022-01-10 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,5.2,64.0,54.0,26.595
2022-01-10 11:00:00,0.258819045102521,-0.9659258262890682,0.0,5.6,64.0,54.0,26.0775
2022-01-10 12:00:00,1.2246467991473532e-16,-1.0,0.0,5.3,62.0,51.0,24.355
2022-01-10 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,4.9,69.0,51.0,23.595
2022-01-10 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,4.9,70.0,47.0,21.31
2022-01-10 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,4.8,69.0,51.0,20.73
2022-01-10 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,4.7,65.0,48.0,19.2275
2022-01-10 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,4.5,60.0,41.0,20.14
2022-01-10 18:00:00,-1.0,-1.8369701987210297e-16,0.0,4.8,62.0,44.0,21.2875
2022-01-10 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,4.7,66.0,64.0,21.4975
2022-01-10 20:00:00,-0.8660254037844386,0.5000000000000001,0.1,4.5,63.0,67.0,21.2625
2022-01-10 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,4.3,63.0,66.0,20.3325
2022-01-10 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,4.2,61.0,62.0,16.7175
2022-01-10 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,4.3,63.0,56.0,16.2675
2022-01-11 00:00:00,0.0,1.0,0.0,4.2,61.0,56.0,13.0625
2022-01-11 01:00:00,0.25881904510252074,0.9659258262890683,0.0,4.5,57.0,46.0,11.4225
2022-01-11 02:00:00,0.49999999999999994,0.8660254037844387,0.0,4.4,55.0,35.0,10.715
2022-01-11 03:00:00,0.7071067811865476,0.7071067811865476,0.0,4.2,56.0,33.0,10.4875
2022-01-11 04:00:00,0.8660254037844386,0.5000000000000001,0.0,3.8,58.0,32.0,10.5175
2022-01-11 05:00:00,0.9659258262890683,0.25881904510252074,0.0,3.6,58.0,31.0,12.18
2022-01-11 06:00:00,1.0,6.123233995736766e-17,0.0,3.7,60.0,37.0,16.16
2022-01-11 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,3.5,62.0,47.0,24.2025
2022-01-11 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,3.3,63.0,64.0,27.4125
2022-01-11 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,3.3,64.0,69.0,27.875
2022-01-11 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,3.7,62.0,67.0,27.3375
2022-01-11 11:00:00,0.258819045102521,-0.9659258262890682,0.0,4.3,59.0,56.0,25.015
2022-01-11 12:00:00,1.2246467991473532e-16,-1.0,0.0,4.4,57.0,44.0,25.4725
2022-01-11 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,4.6,57.0,44.0,
2022-01-11 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,4.6,57.0,49.0,24.3775
2022-01-11 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,4.7,52.0,53.0,20.995
2022-01-11 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,4.8,54.0,49.0,20.855
2022-01-11 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,4.6,55.0,50.0,21.745
2022-01-11 18:00:00,-1.0,-1.8369701987210297e-16,0.0,4.3,47.0,34.0,21.4
2022-01-11 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,4.5,45.0,32.0,22.945
2022-01-11 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,4.3,45.0,17.0,22.475
2022-01-11 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,3.3,46.0,15.0,19.4525
2022-01-11 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,3.2,48.0,10.0,17.815
2022-01-11 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,3.1,53.0,12.0,15.57
2022-01-12 00:00:00,0.0,1.0,0.0,2.8,58.0,18.0,12.9675
2022-01-12 01:00:00,0.25881904510252074,0.9659258262890683,0.0,3.5,56.0,26.0,11.51
2022-01-12 02:00:00,0.49999999999999994,0.8660254037844387,0.0,3.5,57.0,22.0,10.6625
2022-01-12 03:00:00,0.7071067811865476,0.7071067811865476,0.0,3.4,54.0,21.0,10.8575
