Date-time CET-CEST (DD/MM/YYYY HH:mm),hour_sin,hour_cos,Rainfall depth (mm),Air temperature (°C),Air humidity (%),Windspeed (km/h),DMA G (L/s)
2022-01-02 14:00:00,-0.4999999999999997,-0.8660254037844388,0.1,9.8,75.0,28.0,25.3175
2022-01-02 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2,9.2,81.0,31.0,23.9025
2022-01-02 16:00:00,-0.8660254037844385,-0.5000000000000004,1.7,10.7,78.0,17.0,22.955
2022-01-02 17:00:00,-0.9659258262890683,-0.25881904510252063,3.0,9.7,81.0,14.0,24.8475
2022-01-02 18:00:00,-1.0,-1.8369701987210297e-16,4.1,9.9,82.0,21.0,23.11
2022-01-02 19:00:00,-0.9659258262890684,0.2588190451025203,3.6,9.2,84.0,23.0,24.765
2022-01-02 20:00:00,-0.8660254037844386,0.5000000000000001,3.9,9.8,79.0,21.0,25.0875
2022-01-02 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,10.1,77.0,15.0,22.4225
2022-01-02 22:00:00,-0.5000000000000004,0.8660254037844384,0.2,10.2,76.0,22.0,20.26
2022-01-02 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,9.9,73.0,17.0,18.675
2022-01-03 00:00:00,0.0,1.0,0.5,9.7,78.0,15.0,16.605
2022-01-03 01:00:00,0.25881904510252074,0.9659258262890683,0.0,9.4,76.0,17.0,13.8325
2022-01-03 02:00:00,0.49999999999999994,0.8660254037844387,0.0,9.6,74.0,17.0,12.7975
2022-01-03 03:00:00,0.7071067811865476,0.7071067811865476,0.0,10.0,74.0,12.0,12.3425
2022-01-03 04:00:00,0.8660254037844386,0.5000000000000001,0.0,10.0,75.0,10.0,12.165
2022-01-03 05:00:00,0.9659258262890683,0.25881904510252074,0.0,10.1,76.0,8.0,12.2625
2022-01-03 06:00:00,1.0,6.123233995736766e-17,0.0,10.2,75.0,9.0,13.655
2022-01-03 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,9.6,76.0,10.0,16.4775
2022-01-03 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,9.2,78.0,9.0,22.6575
2022-01-03 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,10.0,72.0,12.0,30.36
2022-01-03 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,10.3,71.0,9.0,34.995
2022-01-03 11:00:00,0.258819045102521,-0.9659258262890682,0.0,10.7,68.0,9.0,33.1325
2022-01-03 12:00:00,1.2246467991473532e-16,-1.0,0.0,11.1,68.0,9.0,30.955
2022-01-03 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,12.1,65.0,5.0,28.52
2022-01-03 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,11.5,71.0,8.0,26.1925
2022-01-03 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,11.3,73.0,9.0,24.7575
2022-01-03 16:00:00,-0.8660254037844385,-0.5000000000000004,0.1,10.4,75.0,12.0,23.45
2022-01-03 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,9.9,74.0,16.0,23.765
2022-01-03 18:00:00,-1.0,-1.8369701987210297e-16,0.0,9.5,81.0,11.0,24.1225
2022-01-03 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,9.3,74.0,10.0,25.0725
2022-01-03 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,9.3,73.0,9.0,26.0525
2022-01-03 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,8.9,73.0,6.0,23.255
2022-01-03 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,8.6,76.0,7.0,20.0375
2022-01-03 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,8.0,74.0,6.0,18.9675
2022-01-04 00:00:00,0.0,1.0,0.0,7.9,71.0,14.0,15.9775
2022-01-04 01:00:00,0.25881904510252074,0.9659258262890683,0.0,8.1,70.0,15.0,13.32
2022-01-04 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.9,71.0,12.0,11.92
2022-01-04 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.9,71.0,19.0,11.9425
2022-01-04 04:00:00,0.8660254037844386,0.5000000000000001,0.0,8.2,70.0,19.0,11.9925
2022-01-04 05:00:00,0.9659258262890683,0.25881904510252074,0.0,8.4,69.0,13.0,12.89
2022-01-04 06:00:00,1.0,6.123233995736766e-17,0.0,8.2,71.0,8.0,16.11
2022-01-04 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,8.2,71.0,9.0,22.0075
2022-01-04 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,8.3,72.0,6.0,28.0025
2022-01-04 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,7.9,75.0,7.0,29.3
2022-01-04 10:00:00,0.49999999999999994,-0.8660254037844387,0.1,7.0,80.0,8.0,26.4675
2022-01-04 11:00:00,0.258819045102521,-0.9659258262890682,0.3,6.7,79.0,12.0,24.685
2022-01-04 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.7,78.0,11.0,24.155
2022-01-04 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,7.9,76.0,9.0,25.8775
2022-01-04 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,8.2,76.0,9.0,24.91
2022-01-04 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,8.7,74.0,9.0,22.675
2022-01-04 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,8.9,73.0,3.0,21.035
2022-01-04 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,9.1,75.0,4.0,22.16
2022-01-04 18:00:00,-1.0,-1.8369701987210297e-16,0.0,8.7,77.0,6.0,22.695
2022-01-04 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,8.2,78.0,7.0,25.1925
2022-01-04 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,8.5,76.0,6.0,26.255
2022-01-04 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,8.1,75.0,7.0,22.6825
2022-01-04 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,8.1,73.0,6.0,19.0125
2022-01-04 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,7.8,74.0,6.0,17.6925
2022-01-05 00:00:00,0.0,1.0,0.0,7.9,71.0,6.0,15.81
2022-01-05 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.9,72.0,4.0,13.2425
2022-01-05 02:00:00,0.49999999999999994,0.8660254037844387,0.0,7.5,73.0,5.0,12.2525
2022-01-05 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.9,72.0,7.0,12.255
2022-01-05 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.4,74.0,7.0,12.31
2022-01-05 05:00:00,0.9659258262890683,0.25881904510252074,0.0,7.2,75.0,6.0,12.825
2022-01-05 06:00:00,1.0,6.123233995736766e-17,0.0,7.3,75.0,8.0,15.2875
2022-01-05 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,7.2,74.0,10.0,21.1475
2022-01-05 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,7.0,75.0,6.0,24.835
2022-01-05 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,8.0,72.0,4.0,27.515
2022-01-05 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,8.6,69.0,4.0,28.1275
2022-01-05 11:00:00,0.258819045102521,-0.9659258262890682,0.0,8.8,67.0,7.0,26.265
2022-01-05 12:00:00,1.2246467991473532e-16,-1.0,0.0,9.0,67.0,7.0,25.225
2022-01-05 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,9.3,68.0,8.0,25.9175
2022-01-05 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,9.6,68.0,7.0,25.3425
2022-01-05 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,9.8,65.0,8.0,22.37
2022-01-05 16:00:00,-0.8660254037844385,-0.5000000000000004,0.4,8.7,72.0,12.0,21.8575
2022-01-05 17:00:00,-0.9659258262890683,-0.25881904510252063,0.8,7.5,76.0,10.0,22.58
2022-01-05 18:00:00,-1.0,-1.8369701987210297e-16,0.3,7.2,76.0,14.0,22.56
2022-01-05 19:00:00,-0.9659258262890684,0.2588190451025203,0.1,7.3,76.0,16.0,23.6925
2022-01-05 20:00:00,-0.8660254037844386,0.5000000000000001,0.1,7.1,75.0,24.0,26.4075
2022-01-05 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,7.2,74.0,20.0,23.4475
2022-01-05 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,7.1,75.0,23.0,19.085
2022-01-05 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,7.0,74.0,22.0,18.35
2022-01-06 00:00:00,0.0,1.0,0.0,7.2,75.0,15.0,15.5475
2022-01-06 01:00:00,0.25881904510252074,0.9659258262890683,0.0,7.2,76.0,15.0,12.5075
2022-01-06 02:00:00,0.49999999999999994,0.8660254037844387,0.6,7.2,77.0,14.0,11.1075
2022-01-06 03:00:00,0.7071067811865476,0.7071067811865476,0.0,7.5,75.0,13.0,10.115
2022-01-06 04:00:00,0.8660254037844386,0.5000000000000001,0.0,7.5,75.0,15.0,
2022-01-06 05:00:00,0.9659258262890683,0.25881904510252074,0.0,7.2,76.0,13.0,10.28
2022-01-06 06:00:00,1.0,6.123233995736766e-17,0.2,7.2,80.0,12.0,13.52
2022-01-06 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.9,80.0,11.0,16.2975
2022-01-06 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,7.0,80.0,12.0,22.2025
2022-01-06 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,7.0,80.0,15.0,28.7575
2022-01-06 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,7.7,79.0,15.0,30.6375
2022-01-06 11:00:00,0.258819045102521,-0.9659258262890682,0.0,7.7,80.0,14.0,31.2875
2022-01-06 12:00:00,1.2246467991473532e-16,-1.0,0.0,8.3,79.0,12.0,30.34
2022-01-06 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,8.7,71.0,22.0,27.875
2022-01-06 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,8.7,75.0,17.0,25.0625
2022-01-06 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,7.8,79.0,26.0,22.3725
2022-01-06 16:00:00,-0.8660254037844385,-0.5000000000000004,0.2,6.9,78.0,24.0,22.69
2022-01-06 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,6.9,81.0,9.0,24.5925
2022-01-06 18:00:00,-1.0,-1.8369701987210297e-16,0.1,6.7,83.0,10.0,26.4275
2022-01-06 19:00:00,-0.9659258262890684,0.2588190451025203,1.8,5.8,84.0,6.0,26.375
2022-01-06 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,6.0,83.0,10.0,26.4825
2022-01-06 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.3,84.0,9.0,24.4225
2022-01-06 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.3,84.0,9.0,20.045
2022-01-06 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,6.1,84.0,8.0,19.6825
2022-01-07 00:00:00,0.0,1.0,0.0,5.9,82.0,10.0,15.5725
2022-01-07 01:00:00,0.25881904510252074,0.9659258262890683,0.0,6.2,84.0,8.0,13.01
2022-01-07 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.7,85.0,12.0,12.065
2022-01-07 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.5,86.0,12.0,12.0975
2022-01-07 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.9,83.0,8.0,11.6525
2022-01-07 05:00:00,0.9659258262890683,0.25881904510252074,0.0,6.2,83.0,7.0,12.8925
2022-01-07 06:00:00,1.0,6.123233995736766e-17,0.0,6.0,82.0,10.0,18.0325
2022-01-07 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.3,79.0,10.0,25.9375
2022-01-07 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,6.6,79.0,8.0,27.4425
2022-01-07 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,6.8,77.0,7.0,
2022-01-07 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,6.9,77.0,10.0,25.0375
2022-01-07 11:00:00,0.258819045102521,-0.9659258262890682,1.4,6.6,83.0,5.0,23.0175
2022-01-07 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.5,77.0,7.0,24.49
2022-01-07 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,8.4,73.0,4.0,24.38
2022-01-07 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,7.9,75.0,8.0,23.665
2022-01-07 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,8.1,72.0,8.0,21.8425
2022-01-07 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,7.8,83.0,8.0,20.7175
2022-01-07 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,7.7,82.0,9.0,19.9425
2022-01-07 18:00:00,-1.0,-1.8369701987210297e-16,0.0,7.3,86.0,10.0,22.8525
2022-01-07 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,7.4,85.0,11.0,25.1825
2022-01-07 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,7.0,86.0,6.0,26.6875
2022-01-07 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.4,84.0,6.0,22.83
2022-01-07 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.1,84.0,5.0,21.15
2022-01-07 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,6.0,79.0,6.0,17.705
2022-01-08 00:00:00,0.0,1.0,0.0,5.8,80.0,5.0,15.24
2022-01-08 01:00:00,0.25881904510252074,0.9659258262890683,0.0,6.3,72.0,6.0,12.26
2022-01-08 02:00:00,0.49999999999999994,0.8660254037844387,0.0,6.0,73.0,13.0,9.97
2022-01-08 03:00:00,0.7071067811865476,0.7071067811865476,0.0,6.0,74.0,9.0,8.5325
2022-01-08 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.8,71.0,18.0,
2022-01-08 05:00:00,0.9659258262890683,0.25881904510252074,0.0,6.0,73.0,23.0,10.9575
2022-01-08 06:00:00,1.0,6.123233995736766e-17,0.0,5.6,72.0,26.0,17.7825
2022-01-08 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,6.1,71.0,13.0,25.715
2022-01-08 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,6.3,75.0,30.0,28.09
2022-01-08 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,6.1,73.0,34.0,28.31
2022-01-08 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,6.6,73.0,30.0,25.2725
2022-01-08 11:00:00,0.258819045102521,-0.9659258262890682,0.0,6.8,65.0,35.0,24.565
2022-01-08 12:00:00,1.2246467991473532e-16,-1.0,0.0,7.1,63.0,39.0,24.1325
2022-01-08 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,7.3,64.0,39.0,25.7275
2022-01-08 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,6.9,62.0,42.0,24.12
2022-01-08 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,7.1,61.0,44.0,20.57
2022-01-08 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,6.8,60.0,39.0,21.745
2022-01-08 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,6.5,63.0,42.0,21.905
2022-01-08 18:00:00,-1.0,-1.8369701987210297e-16,0.0,6.3,61.0,46.0,23.9725
2022-01-08 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,6.5,58.0,44.0,24.63
2022-01-08 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,6.3,61.0,41.0,26.0075
2022-01-08 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,6.5,56.0,42.0,22.91
2022-01-08 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,6.0,58.0,40.0,19.205
2022-01-08 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,5.7,64.0,40.0,18.32
2022-01-09 00:00:00,0.0,1.0,0.0,5.5,66.0,39.0,15.5925
2022-01-09 01:00:00,0.25881904510252074,0.9659258262890683,0.0,5.4,65.0,46.0,13.6025
2022-01-09 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.1,65.0,46.0,12.5875
2022-01-09 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.0,65.0,46.0,12.04
2022-01-09 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.1,65.0,45.0,12.155
2022-01-09 05:00:00,0.9659258262890683,0.25881904510252074,0.0,4.8,65.0,44.0,12.7025
2022-01-09 06:00:00,1.0,6.123233995736766e-17,0.0,4.8,64.0,38.0,14.7575
2022-01-09 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,4.8,65.0,42.0,19.45
2022-01-09 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,4.6,68.0,41.0,26.1625
2022-01-09 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,4.6,69.0,45.0,31.755
2022-01-09 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,5.1,64.0,45.0,30.495
2022-01-09 11:00:00,0.258819045102521,-0.9659258262890682,0.0,5.7,64.0,46.0,30.145
2022-01-09 12:00:00,1.2246467991473532e-16,-1.0,0.0,6.1,64.0,46.0,28.39
2022-01-09 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,6.0,65.0,45.0,29.4275
2022-01-09 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,5.9,65.0,40.0,26.1675
2022-01-09 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,5.7,68.0,44.0,25.2375
2022-01-09 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,5.6,67.0,44.0,22.845
2022-01-09 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,5.6,67.0,43.0,23.375
2022-01-09 18:00:00,-1.0,-1.8369701987210297e-16,0.0,5.6,67.0,45.0,24.16
2022-01-09 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,5.5,65.0,49.0,25.0975
2022-01-09 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,5.5,66.0,47.0,25.7475
2022-01-09 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,5.4,63.0,47.0,23.0225
2022-01-09 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,5.3,65.0,48.0,20.2075
2022-01-09 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,5.1,64.0,47.0,18.09
2022-01-10 00:00:00,0.0,1.0,0.0,5.2,66.0,43.0,16.4325
2022-01-10 01:00:00,0.25881904510252074,0.9659258262890683,0.0,5.2,67.0,48.0,13.0425
2022-01-10 02:00:00,0.49999999999999994,0.8660254037844387,0.0,5.0,65.0,48.0,12.3875
2022-01-10 03:00:00,0.7071067811865476,0.7071067811865476,0.0,5.3,65.0,49.0,12.1925
2022-01-10 04:00:00,0.8660254037844386,0.5000000000000001,0.0,5.3,65.0,55.0,12.3275
2022-01-10 05:00:00,0.9659258262890683,0.25881904510252074,0.0,5.3,64.0,49.0,12.305
2022-01-10 06:00:00,1.0,6.123233995736766e-17,0.0,5.1,65.0,51.0,13.435
2022-01-10 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,5.0,61.0,52.0,16.0
2022-01-10 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,4.9,61.0,53.0,22.89
2022-01-10 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,5.0,61.0,56.0,30.0275
2022-01-10 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,5.2,64.0,54.0,32.335
2022-01-10 11:00:00,0.258819045102521,-0.9659258262890682,0.0,5.6,64.0,54.0,32.395
2022-01-10 12:00:00,1.2246467991473532e-16,-1.0,0.0,5.3,62.0,51.0,29.74
2022-01-10 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,4.9,69.0,51.0,29.51
2022-01-10 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,4.9,70.0,47.0,26.7825
2022-01-10 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,4.8,69.0,51.0,22.7325
2022-01-10 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,4.7,65.0,48.0,23.72
2022-01-10 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,4.5,60.0,41.0,24.3775
2022-01-10 18:00:00,-1.0,-1.8369701987210297e-16,0.0,4.8,62.0,44.0,26.5175
2022-01-10 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,4.7,66.0,64.0,26.7625
2022-01-10 20:00:00,-0.8660254037844386,0.5000000000000001,0.1,4.5,63.0,67.0,27.3175
2022-01-10 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,4.3,63.0,66.0,24.025
2022-01-10 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,4.2,61.0,62.0,19.5425
2022-01-10 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,4.3,63.0,56.0,19.0475
2022-01-11 00:00:00,0.0,1.0,0.0,4.2,61.0,56.0,14.0725
2022-01-11 01:00:00,0.25881904510252074,0.9659258262890683,0.0,4.5,57.0,46.0,12.44
2022-01-11 02:00:00,0.49999999999999994,0.8660254037844387,0.0,4.4,55.0,35.0,11.7025
2022-01-11 03:00:00,0.7071067811865476,0.7071067811865476,0.0,4.2,56.0,33.0,11.9
2022-01-11 04:00:00,0.8660254037844386,0.5000000000000001,0.0,3.8,58.0,32.0,11.56
2022-01-11 05:00:00,0.9659258262890683,0.25881904510252074,0.0,3.6,58.0,31.0,13.1325
2022-01-11 06:00:00,1.0,6.123233995736766e-17,0.0,3.7,60.0,37.0,18.725
2022-01-11 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,3.5,62.0,47.0,25.3075
2022-01-11 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,3.3,63.0,64.0,28.5225
2022-01-11 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,3.3,64.0,69.0,27.87
2022-01-11 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,3.7,62.0,67.0,25.96
2022-01-11 11:00:00,0.258819045102521,-0.9659258262890682,0.0,4.3,59.0,56.0,24.6825
2022-01-11 12:00:00,1.2246467991473532e-16,-1.0,0.0,4.4,57.0,44.0,24.695
2022-01-11 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,4.6,57.0,44.0,24.165
2022-01-11 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,4.6,57.0,49.0,21.89
2022-01-11 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,4.7,52.0,53.0,19.9775
2022-01-11 16:00:00,-0.8660254037844385,-0.5000000000000004,0.0,4.8,54.0,49.0,20.6075
2022-01-11 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,4.6,55.0,50.0,20.805
2022-01-11 18:00:00,-1.0,-1.8369701987210297e-16,0.0,4.3,47.0,34.0,21.815
2022-01-11 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,4.5,45.0,32.0,26.495
2022-01-11 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,4.3,45.0,17.0,27.4175
2022-01-11 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,3.3,46.0,15.0,22.905
2022-01-11 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,3.2,48.0,10.0,20.5525
2022-01-11 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,3.1,53.0,12.0,17.625
2022-01-12 00:00:00,0.0,1.0,0.0,2.8,58.0,18.0,15.52
2022-01-12 01:00:00,0.25881904510252074,0.9659258262890683,0.0,3.5,56.0,26.0,12.8025
2022-01-12 02:00:00,0.49999999999999994,0.8660254037844387,0.0,3.5,57.0,22.0,12.1125
2022-01-12 03:00:00,0.7071067811865476,0.7071067811865476,0.0,3.4,54.0,21.0,12.3875
